iter	Passed	Remaining
705	1378	574
706	1379	571
707	1381	569
708	1382	567
709	1384	565
710	1385	563
711	1387	561
712	1389	559
713	1390	557
714	1392	554
715	1393	552
716	1395	550
717	1396	548
718	1398	546
719	1399	544
720	1401	542
721	1402	540
722	1404	537
723	1405	535
724	1406	533
725	1407	531
726	1409	529
727	1410	527
728	1412	524
729	1413	522
730	1415	520
731	1416	518
732	1418	516
733	1419	514
734	1421	512
735	1422	510
736	1424	508
737	1425	506
738	1427	504
739	1428	501
740	1429	499
741	1431	497
742	1433	495
743	1434	493
744	1436	491
745	1437	489
746	1438	487
747	1440	485
748	1441	483
749	1443	481
750	1444	479
751	1446	477
752	1448	474
753	1449	472
754	1451	470
755	1453	469
756	1454	467
757	1456	465
758	1458	463
759	1461	461
760	1462	459
761	1464	457
762	1465	455
763	1467	453
764	1468	451
765	1470	449
766	1471	447
767	1473	445
768	1474	442
769	1476	441
770	1478	439
771	1479	436
772	1481	434
773	1483	433
774	1484	431
775	1486	428
776	1487	426
777	1489	424
778	1491	423
779	1492	421
780	1495	419
781	1497	417
782	1498	415
783	1500	413
784	1501	411
785	1503	409
786	1504	407
787	1506	405
788	1507	403
789	1509	401
790	1510	399
791	1512	397
792	1513	395
793	1515	393
794	1516	391
795	1518	389
796	1520	387
797	1522	385
798	1523	383
799	1525	381
800	1526	379
801	1528	377
802	1529	375
803	1531	373
804	1532	371
805	1534	369
806	1536	367
807	1537	365
808	1539	363
809	1540	361
810	1542	359
811	1543	357
812	1545	355
813	1547	353
814	1548	351
815	1550	349
816	1551	347
817	1553	345
818	1554	343
819	1556	341
820	1557	339
821	1559	337
822	1560	335
823	1562	333
824	1564	331
825	1565	329
826	1566	327
827	1568	325
828	1569	323
829	1571	321
830	1572	319
831	1574	317
832	1575	315
833	1576	313
834	1578	311
835	1580	309
836	1581	307
837	1582	306
838	1584	304
839	1585	302
840	1587	300
841	1588	298
842	1590	296
843	1591	294
844	1594	292
845	1595	290
846	1597	288
847	1598	286
848	1600	284
849	1601	282
850	1603	280
851	1604	278
852	1605	276
853	1607	274
854	1609	272
855	1610	270
856	1612	269
857	1614	267
858	1615	265
859	1617	263
860	1618	261
861	1620	259
862	1621	257
863	1623	255
864	1624	253
865	1626	251
866	1627	249
867	1629	247
868	1630	245
869	1632	243
870	1633	241
871	1634	239
872	1636	238
873	1638	236
874	1639	234
875	1641	232
876	1642	230
877	1643	228
878	1645	226
879	1646	224
880	1648	222
881	1649	220
882	1651	218
883	1652	216
884	1654	214
885	1655	213
886	1657	211
887	1658	209
888	1660	207
889	1661	205
890	1663	203
891	1664	201
892	1667	199
893	1668	197
894	1670	195
895	1671	194
896	1673	192
897	1674	190
898	1676	188
899	1677	186
900	1679	184
901	1680	182
902	1682	180
903	1683	178
904	1684	176
905	1686	174
906	1688	173
907	1689	171
908	1691	169
909	1692	167
910	1694	165
911	1696	163
912	1698	161
913	1699	159
914	1701	158
915	1702	156
916	1704	154
917	1705	152
918	1707	150
919	1708	148
920	1710	146
921	1711	144
922	1713	142
923	1714	141
924	1716	139
925	1717	137
926	1719	135
927	1720	133
928	1722	131
929	1723	129
930	1725	127
931	1727	126
932	1728	124
933	1730	122
934	1731	120
935	1733	118
936	1734	116
937	1736	114
938	1737	112
939	1739	111
940	1741	109
941	1742	107
942	1743	105
943	1745	103
944	1746	101
945	1748	99
946	1749	97
947	1751	96
